sentence1_kin,sentence2_kin,human_score
"Lenny yacitse intege mu gihe cy' inyanja ya Atalantika y' uburasirazuba hashize iminsi ibiri , maze ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ku itariki ya 23 Ugushyingo .","Umuyaga mwinshi watumye inkubi y'umuyaga idakomeza kuba mbi , maze Debby ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita ahita",0.69
Ariko nzasoma ibitabo bikurikiraho.,"Uko byagenda kose, nzasoma igice gisigaye cy'iyo nkuru.",0.69
"Kuva mu majyaruguru kugera mu majyepfo , icyo kibaya kigera ku birometero 160 .",Izo modoka zifite umuvuduko w'ubucuruzi w' kilometero 160 ku isaha .,0.44
"@BillKristol GOP, Dems & Media bose batinya Trump.","Nyuma ya buri kiganiro na @realDonaldTrump nkareba, ndushaho kugira amatsiko yo kubona uko iyi gihugu kizaba kigira icyubahiro mu kwezi k'Ugushyingo 2016.",0.53
Ibyinshi mu byo navuze ni ibitekerezo by'ingenzi gusa.,"Oya, ahubwo uwo mugore w'intwari yanga nyina w'imfura.",0.09
"Satani azaguciraho uburyo bushya bwo kubaho buri gihe, lol.","Satani azaguciraho uburyo bushya bwo kubaho, buri gihe.",0.88
"Ned Vizzini atunganya inkuru nziza kandi itangaje, ishingiye ku bantu b'ukuri, bemerwa kandi bishimishije.",Ndashimira cyane Ned ku bw'ikigo cya ARC!,0.38
Urukiko rw'Ubutabera rwanze ko hakorwa ikirego cy'ibyangiritse bitewe n'uko habayeho kurenga ku mategeko ahana iby'ubucuruzi.,"Umunyamabanga wa Mbere (amategeko y'Ubumwe bw'u Burayi, Urukiko rw'Ubutabera, isoko ryinjira mu gihugu, isiganwa ry'amaguru)",0.37
Raporo y'Ikigo cy'Igihugu gishinzwe Ubushakashatsi ku Itegeko Nshinga yavuze ko hari ibihugu 27 by'ibanze byateye ubwoba umutekano w'igihugu cy'u Bwongereza kuko bishobora guha imitwe y'iterabwoba.,Raporo ivuga ko hari ibihugu 27 by'ibanze byateye ubwoba umutekano w'igihugu cy'u Bwongereza kuko bishobora guha imitwe y'iterabwoba.,0.75
@tooprettyclub Ese wumva utishimiye ko abagabo bo muri #GOP bakubwira ibyo ushobora gukora n'ibyo udashobora gukora ku mubiri wawe?,"Niba urusoro rutari muri wowe, gira icyo uvuga",0.43
Gusa ibyo ubona mu maso ye ni uko ari umuntu mwiza kandi ko nawe umwifuza!,Gusa iyo umureba umenya ko ari mwiza kandi ko umukeneye!!!!,0.91
"Mbese, wamukomeretsa ijosi n'amaboko yoroheje maze ukamusoma mu gutwi?","Mujye mukomeza gufatana ukuboko, mushyire hamwe, mushyire hamwe, maze muzabeho.",0.62
"Muri rusange, numvaga ari inkuru y'ibyishimo.","Iyi nkuru ikurikirana abantu bane bakomeye, abakobwa babiri n'abahungu babiri, buri wese akaba yakundanye n'undi muntu mu itsinda.",0.44
Amaraso yari acumbitse mu masenga ya Sharon igihe yahumekaga kandi akihumeka.,"Sharon yarashuhije kandi ararira, amaraso ari mu kanwa ke.",0.81
@AzzarelliJim Si byiza cyane ku bagore wifuza guhatira kubyara ku ngufu. #rapeculture,"@mrprolife Ibibazo by'uburwayi bibaho mu buryo bwose bwo kwivuza, ariko ntibivuze ko iyo nzira ubwayo igomba gucibwa. #DealWithIt",0.41
"Nanone kandi , hari ikiganiro cya radiyo cyavugwaga ku izina rya The Way of the Master Radio , cyatumiwemo n' umukozi wo gutangiza ibiganiro witwa Todd Friel .","Ni we ukorera ikiganiro cya Sean Hannity Show , ikiganiro cy' radiyo cyamamazwa ku rwego rw' igihugu cyose , cyakwirakwizwa muri Leta Zunze Ubumwe za Amerika ku mbuga za radiyo za Premiere .",0.5
Hari umugabo uri hejuru y'inzu y'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ib,Imirimo yo kubaka ikorerwa mu gace k'ubucuruzi.,0.47
Abakiri bato b'abamurika amashusho y'amareresi bagaragaza ko bagira ubushishozi.,itsinda ry'abana bafashe imyanya y'imbere bafite impapuro zabo z'ibyangombwa.,0.44
Imyenda mito ifite akamaro cyane kuko mu myaka ishize hari ikibazo cy' icyuho cy' ibipimo bya silikiyo .,"Ibyo byatumye abapapa baherutse kugaragariza Kiliziya akamaro k'Ikilatini , cyane cyane ku bantu biga mu rwego rw'idini .",0.06
"YEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEeeeeee lalalalalalallalal~ Mbabarira, ndumva mfite imbaraga nyinshi ubu...Mjau~ *_____* (Twakunze urukundo rwari rutarenze urukundo.","Nanone kandi, muri ibyo bintu ntihariho gusa imfuruka y'urukundo, ahubwo hari n'imfuruka y'urukundo.",0.28
"@SuePalmers @LSDsr Ntacyo bintwaye. Si jye uhitamo, kandi si wowe uhitamo, guhitamo icyo undi mugore azahitamo. #feminism",@davebachman34 @Clifford1462 @msnbc muzi ikigabanya cyane ibyo gukuramo inda?,0.5
Ndizera ko @HillaryClinton azatsinda muri 2016.,@chicagotribune #ayyylmao #demokarasi n'abandi #liberal barabyumva ko nta muntu wifuza #HillaryClinton ari #Obamanation 2.0?,0.34
"Kuri jye, Pinoy Big Brother ni imwe mu myitozo myiza yo kuri televiziyo.=)",Ikiganiro cya televiziyo gikunzwe cyane ni kimwe mu byo nkunda cyane.,0.75
Izina rye ni Rio kandi aririmba mu gihugu cya Sanaaaand!!!,@gerfingerpoken Kuki uyu mugore ameze nka teflon? yakoze ibyaha byinshi cyane agomba kurinda 2 ku rukuta!,0.12
[_ IsDlgTextStyle] Gushyiraho sisitemu yo gushyiraho [ProductName] kugirango ushyireho [ProductName].,"Kugira ngo Windows XP ishyirwe kuri iyi porogaramu, ugomba kuyishyiraho uburyo bushya.",0.41
"Ibikoresho by'ubucuruzi byongereweho 0,39%","Ibikoresho by'ubucuruzi byongereweho 2,47%",0.88
Umugabo wambaye inkofero y'umuhondo atwaye moto mu kibuga cy'ibisasu.,"Umupira w'amaguru wambaye imyenda y'umukara n'umuhondo, yirinze umusozi ku igare rye ry'ibitaka.",0.59
Umutware w'inka muri leta ya Texas yajugunywe mu rwobo rw'inka,"Umuntu ugendera ku igare ry'abantu benshi, aba ari mu kaga nk'uko inka iba iriko irasa.",0.75
Mbabarira ubushinjacyaha n'urukiko.,Mbabarira ku bihereranye n'urwo rubanza n'urubanza.,0.69
"Uwo mubumbe yica mugenzi we w'umunyamuzikazi, amwereka impamvu.","Umunyamahanga w'Umurenga ni igitabo cya kabiri mu gitabo cyitwa ""Ice Planet Barbarians"" cyanditswe na Ruby Dixon.",0.38
Sinigeze ndonka ibintu nk'ibyo.,Mbese ibyo bintu byose biri mu gikapu?,0.25
Abana bambaye imyenda y'ubururu bakora amasomo yo mu rugo bakikije ameza manini.,Abana icyenda bicaye ku meza bakora amasomo.,0.66
"Nanone muri icyo gihe , akarere ka Mid Sussex kari katurutse mu burasirazuba bwa Sussex .","Mu mwaka wa 1974 , intara ya kera ya Sussex yagabanyijwemo ibice bibiri , East Sussex na West Sussex .",0.78
Umugi wa Rio Grande do Norte ugendera ku mugabane w' Uturere .,"Ku itariki ya 10 Nzeri , inkubi y'umuyaga yateye mu ruzi rwa Rio Grande .",0.41
Igihe nategekaga mama ngo agufashe.,Nyoko yatangiye kumfasha.,0.59
Rurik yababajwe n'impanuka y'igihe yari akiri umudereva w'ingabo z'indege.,"Rurik agezeyo, atangazwa no kubona Tasya, umugore yari yarigeze gusabana na we.",0.44
Naguib Mahfouz yari umwanditsi w' umunya Misiri wahawe igihembo cy' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo,"Igihe yapfaga , ni we mwanditsi w' icyarabu wenyine wahawe igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo cy ' igihembo",0.53
Veronica Roth yarayumvise.,Veronica Roth ni we watangije ikiganiro cy'inkuru ngufi cya Shards & Ashes.,0.62
Bombi basa n'ababyeyi babo.,Ntekereza ko se yamwishe.,0.12
"Amazina y' aho hantu cyangwa ayo mu murongo agaragara mu nyuguti ziboneka , arimo kubakwa .",Abagize Inteko Ishinga Amategeko ya Premier League bagaragajwe mu nyuguti ziberamye .,0.31
Jane Yolen na Yolen bafashe batatu muri iyi ndirimbo?,"Umunyamuryango wa Rayon Sports, Jane Yolen,",0.72
"Ni koko, Blossom the Happy Monster yaje kugaruka nk'uko yari yarabisezeranyije, ariko mu mapaji make ya nyuma gusa, kandi ni nk'aho yari amaze gutekereza.","Jyewe nabonye ko imperuka itagarutsweho gusa n'umwimerere, ahubwo ko yahanuwe n'ibiri ku ipaji ya mbere.",0.44
"RT @bdckool: .@realDonaldTrump Niba ushobora gukorera Amerika ibyo wakoreye ubucuruzi bwawe, uzamenye ko nzaguhitamo.",Utekereza ko ushobora kuvuga ikintu cyose nta ngaruka?,0.12
Umurwa mukuru w' akarere ni Gao .,Akarere ka Gao kari mu burasirazuba bwa Mali .,0.5
Ese igihe wavaga mu ijuru byarakubise?,Igihe wabaga wavuye mu ijuru cyangwa se ni iki?,0.81
@WhiteHouse @BarackObama @HillaryforIA @BarackObama Isi yose iri kubashyigikira.,@NatureGuy101 @MaryMorientes Inkunga ishyigikiye #HillaryClinton perezida #United States Isi ni icy'umugore ku isi,0.38
Umugabo wambaye ikoti n'amahuzu y'imbere y'imyenda afata ifoto y'umuntu wo mu kirere mu mujyi.,Umugabo wambaye ikoti y'imbeho ari gufata ifoto.,0.53
Hey Megan - umutima w'umwana utangira kumeneka ku minsi 21 nyuma yo gutwita. Nta gihe cyiza cyo kurangiza ubuzima bwe!! #kellyfile,@AzzarelliJim Si byiza cyane ku bagore wifuza guhatira kubyara ku ngufu. #rapeculture,0.41
"Niba ubyanganyije mu buryo ntari niteguye, nzakwica.",RT @rxchelredekop: Kwemera gukora imibonano mpuzabitsina si ukwemera gutwita!!!,0.44
"Icyo gihe , Oakland yasaga n'aho ari ahantu hatari hazwi ho gukinira ikipe y' umupira w'amaguru .",Oakland ntiyari afite ikipe y' umupira w'amaguru y' umwuga .,0.91
Hari umugabo urimo asimbuka ava mu gikoni cyo hejuru mu rugo rwe.,"Umuntu ukora siporo y'amabarabara atemba mu kirere, aguruka mu misozi.",0.3
Iyo nyanja ihuza Inyanja ya Tasmani mu burengerazuba n'Inyanja ya Pasifika y' Iburengerazuba .,"Yagiye iburengerazuba yambuka Inyanja ya Atalantika , yambuka Amerika yo Hagati , ajya muri Pasifika ku itariki ya 28 .",0.28
Umukobwa wambaye bikini aryamye ku nkombe,Umugore wambaye bikini akurura imbwa ku kiyo ku nkombe.,0.62
Nathaniel Hawthorne yari umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w ' umwanditsi w ' umwanditsi w ' umenyamerika .,Maria Edgeworth yari umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwongereza n ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwanditsi w ' umwongereza w ' u Bwongereza n ' u Bwongereza n ' u Bwongereza n ' u Bwongereza .,0.34
Donadel ni umutoza w' umunya-Milan .,Marco Donadel ni umukinnyi w' umupira w'amaguru w' Umunyaitaliyani .,0.78
Ni ahantu hatuje cyane ku buryo kumva bibabaza.,Uzaba wumva utekanye cyane mu gihe amatwi yawe azaba ababajwe.,0.5
"Kubera ko nasomaga, nagiye mbisoma, ariko kubera ko Kyle yari umuntu mwiza, ntibyigeze bimworohera.","Igihe Kyle yari amaze gusura Umugi wa Antwerp, yari amaze kwisiga mu nzu ye yo mu gace ka West Hampstead, ubwoba bw'abagize umuryango wa Old Friends bwari bwaramaze kumenyekana!",0.47
"Lila ni umukinnyi w'umukara uzatsinda iri rushanwa, ariko akora neza cyane, kandi ni we ugomba gutsindwa.",Lila akomeza gukura ari umuntu mwiza ndetse akaba n'umwe mu bagize umuryango wa Sinclair.,0.38
"Uwo mwana yari afite ibibazo bikomeye, kandi uwo mugore ntiyashoboraga gutwita.","Uwo mugore yabyaye umwana w'umuhungu, kandi ntiyashoboraga gukomeza kwihangana.",0.66
Ese itangazamakuru ry'ibumoso rigerageza gucecekesha @realDonaldTrump? HAHAHA Komeza kugerageza! Trump si umunyapolitiki w'umwuga kandi ntawe uzamugurisha!,@TPM @realDonaldTrump ibi nibyo biba iyo uvuze cyane.,0.31
"* 4.5 stars* Niba uri umufana ukomeye wa Despina na Jalal, ubwo iyi ni inkuru nziza yo gusoma.","Whoa, njyewe mpereza Despina na Jalal cyane, bararyoshye cyane <3",0.53
Umwuzure wa 7 w' inkuba wabaye ku itariki ya 7 Nzeri .,Umwuzure wo mu nyanja ya 14 wabaye nyuma y' inkuba yo ku itariki ya 14 Ukwakira .,0.66
Umugabo wambaye inyenyeri z'izuba zijimye n'umukandara yicaye iruhande rw'umugore ufite umukandara w'umukara.,Umugore wambaye inyenyeri z'izuba zifite umwijima afashe saxofone.,0.47
Imbwa igerageza gufata ipine rinini ikoresheje akanwa kayo.,Imbwa y'ibara ry'umuhondo igerageza gufata imbwa y'umushishe mu kanwa kayo.,0.72
Flory ni umukobwa w'igihangange.,"Umwigeme witwa Flory, arimo arakura, amenya byinshi kuri we n'isi ye, kandi arabyishimira cyane.",0.62
Iryo tandukaniro ry'amagambo ntirishobora gusa gutuma habaho igitekerezo cy'uko hari itandukaniro ry'amagambo.,gutandukanya amagambo nk'ayo bishobora kugaragaza gusa itandukaniro ry'ibitekerezo.,0.69
Ni nk'indwara y'umugore wafashwe nabi.,Umugore wanjye arankorera ibi.,0.22
@JustinTrudeau Ndashyigikiye amakosa y'abagabo ndetse n'uburenganzira bw'abagore #Standforchoice #women's rights,Imiryango y'abambuzi... mu mihanda y'inyuma y'inzu ifite ikigo cy'ubucuruzi n'ikigega cy'umuyaga?,0.31
Obama yashimiye Mandela 'Inkuru',Obama ashimira Mandela ku bw'impamvu yatumye akora ibintu,0.94
"Ku munsi wanjye wa mbere, buri gihe nshimira ababyeyi banjye banyitayeho cyane kuko banyimye #adoption #nochoiceisevereasy",Nta kintu na kimwe nabonye cyatumaga ndira mu gihe cyose cy'iyo minsi yose.,0.53
"Iyo ndege yari ifite moteri enye, yari ifite kopi ya VC-10 yo mu Bwongereza, yari yajyanye mu karere ka kure cyane kugira ngo isakure amavuta.","indege ifite moteri enye, hafi ya zose z'ubwongereza VC-10, yahindutse igana ku cyicaro cya kure cyane n'abakozi bo ku butaka kugira ngo bayishyiremo amavuta.",0.72
Umukoresha azagaragara ubutumwa bw'ikosa kandi inyandiko izandikwa mu gitabo cy'ibyabaye.,Reba inyandiko y'ibyabaye mu sisitemu kugira ngo umenye ibindi bintu bishobora kuba byaratumye iyo kosa ibaho.,0.6
"Casaya yatsinze itsinda rya mbere ry' abakinnyi ba mbere bahataniraga gukingira indwara , maze i La Mina , Dan na Terry bahita basanga Nick na Austin kugira ngo bahashye Misty .",La Mina yatsindiye ibintu by'ingenzi by' inkambi n' uburenganzira bwo guhitamo uwo mu bagize Casaya wari kujya mu buhungiro mu irushanwa rya Reward Challenge .,0.44
Yashakaga ko Holiday avuga inkuru ye ku buryo bwe .,"Muri iki gihe , amazu y' abarinzi ni amazu y' amavuko .",0.28
Game Maker ni porogaramu ya mudasobwa ya Windows yakorewe na Mark Overmars mu rurimi rwa Delphi .,Game Maker ni porogaramu ya Windows - ni sisitemu ikora - yatangiranye na Mark Overmars .,0.94
Ni gute nari kwibagirwa ukuntu nkunda uyu muntu mukuru?,"Kadrey yakoze akazi keza cyane mu kwandika umwanditsi w'umuntu utavuguruza ibyo yifuzaga, atishingikirije ku magambo y'ibinyoma agira ati ""nsanze ndi umusazi!",0.25
@realDonaldTrump ni umuyobozi nyawe kandi akwiriye kuba Perezida.,@realDonaldTrump Umugabo utinya kuvuga ukuri ni umuntu nzagenderaho!,0.78
"Mu isaha imwe, ibyo byose bazabyirengagiza.",Nigeze kubaza abantu ibyerekeye Goldie.,0.25
"Osteen , muri leta ya Floride , ni umujyi utari muri leta iri mu majyepfo y' uburengerazuba bw' akarere ka Volusia .",Osteen ni umujyi wo muri leta ya Floride muri Leta Zunze Ubumwe za Amerika .,0.78
ntashobora gusiba uburyo bwo kureba icyapa.,Ibaruramari ry'ibimenyetso ryahuye n'ikosa mu gihe ryatangiraga.,0.66
Imodoka za dizeli zo mu bwoko bwa British Rail Class 57 zatangijwe na Brush Traction hagati y ' 1997 na 2004 .,Imodoka zikora ibyuma by' ingufu za dizeli n' ibyuma by' ingufu za hidiraulike z' amato y' inganda z' inganda z' inganda z' inganda z' inganda z' inganda z' inganda z' inganda z' inganda z' inganda z' inganda z' inganda z' inganda z' inganda z' inganda z' inganda z' inganda z' inganda zashyizwe mu bikorwa mu mwaka wa 1958 .,0.47
"Ariko muri rusange, ibyo ntibyari bihagije.",Wenda incuro ebyiri zose.,0.25
... kureka Konversation mu gihe guhererekanya dosiye za DCC bikiriho,... uzabimenya niba DCC ikora ibyo guhanahana dosiye,0.56
"Ntekereza ko ari byo by'ingenzi mu buzima bwa Lovecraft, ni ukuvuga ibintu biteye ubwoba.",Ikintu cyiza: uburyo Lovecraft ashyiraho igihano bufite ishusho y'igitabo cy'ukuri.,0.53
"""Ni kare cyangwa ni kare cyane kugira ngo hatekerezwe muri Siriya""",Umuyobozi wa ONU: Abagenzuzi bakeneye iminsi 4 kugira ngo bashobore gukora iperereza muri Syria,0.5
"Iryo jambo Zhejiang ryari izina rya kera ry' uruzi rwa Qiantang , rurangira mu murwa mukuru wa leta ya Hangzhou .","`` Zhejiang ' ' yitirirwa uruzi rwa Qiantang , nanone rwitwa `` Zhejiang ' ' .",0.69
Urukundo: ngomba kuvuga ko ntari umufana ukomeye w'inkoramutima z'urukundo.,"Icyakora, hari abantu bamwe na bamwe nabonye ko ari uko bimeze.",0.19
Komisiyo ishyigikira guhuza hagati y'abari bashinzwe kwita ku bibazo by'ibibazo.,Komisiyo ishyigikira guhuza hagati y'abari bashishikajwe n'ibyo.,0.78
jya ugura imyenda y'amabara cyangwa y'umugozi n'imyenda yo hejuru y'inzu y'ubwiherero cyangwa y'igitanda,Umugabo uri ku buriri bugufi bwawe ashaka kugura inkweto zawe!!!,0.19
Abakobwa babiri bakina ku nkombe.,Hari umuhungu muto ugendera ku kadogoya ku nkombe.,0.38
"#PrezTrump yagize icyumweru cyiza, ni inkuru ikomeye, mission yasohoye. #tcot #TeaParty",Abantu: Donald Trump ni umuntu ushobora kuyobora iki gihugu mu gihe kizaza.,0.34
Umugore wambaye imyenda y'ubururu n'ikapu y'umukara agendera imbere y'inzu.,Umugabo wambaye umwenda w'umukara n'ikoti y'umuhondo ahagaze afashe ikinyamakuru.,0.41
Sinemera abantu bazira ubuzima kuko bavutse bapfuye cyangwa babuze ubuzima....,"@LifeMattersJrnl Ubundi se, ni uruhe ruhare ufite mu gukoresha uburenganzira bwawe bwo gutanga uruhushya?",0.28
Nkunda cyane David Bowie na Pink Floyd.,Pink Floyd 3 yari igitaramo gitangaje mu ijuru.,0.69
Igisare cy'imvura cy'umutuku kiruruka hejuru y'inyanja hafi y'urutare.,Hari umuntu urimo agenda mu mpinga y'umusozi hejuru y'inyanja.,0.53
Yatekereje akanya gato mbere yo gusubiza.,"Mbere y'uko asubiza, yarabyibajijeho gato.",0.84
"Kugira ngo iyo nzu igire icyo igeraho , iyo orkeseri yagiye ihinduka buhoro buhoro kugira ngo igire agaciro .","Nyuma y' urupfu rwa Franco , orchester yabaye orikestra y' ikinamico ya Teatro de la Zarzuela .",0.69
"Umwarimu w'Umupfumu yasize impinduka zikomeye muri iyi nkuru ikurikira, ndetse (ku bw'ubu) n'igice cya nyuma cy'uruhererekane rw'Umwarimu!","Numva ko icyo gitabo cyarangiye neza, kirimo ibintu byoroheje byasohotse kandi ko hari ibindi bintu bishobora kongerwa muri iyi nkuru nziza!",0.56
@AYoungJFK ni we wahisemo Mark! #profeminist,Tugiye kujya mu bitaro muri iki gitondo. 2015 kandi turacyafite abo kurwanya amahitamo bagombye kwirukanwa.,0.41
"Nanone kandi, jya umvugisha ukuri, kuko ibyo ari ibintu bikomeye kuri jye.",PS: umpe igisubizo cyiza... ibi ni ibintu bikomeye cyane kuri njye.,0.75
"ibyaha by'ibyaha by'icyaha muri Iran birimo ubwicanyi, gufata ku ngufu, kwiba ku ngufu, ubuhakanyi, gutuka Imana, gucuruza ibiyobyabwenge bikomeye, gusambana, ubusambanyi, ubuhemu, ubucuruzi bw'ubucuruzi bw'ubucuruzi bw'amacakubiri.","Ibyaha by'urupfu muri Irani birimo ubwicanyi, gufata ku ngufu, kwiba ku ngufu, gucuruza ibiyobyabwenge bikomeye no gusambana.",0.91
"Umuhanzi ugeze mu za bukuru yicara, atekereza, atega amatwi kandi agategereza.","Hari umugore utegereje mu gicucu, mu gihe umugabo w'umusaza wari wicaye inyuma ye amwitegereza.",0.34
@johnkerry @statedept ifoto yawe yambaye ubusa uri kumwe na Brian Williams ku biro byawe!,Trump ni umukandida utari mu ishyirahamwe ry'ubutegetsi bw'ikirenga.,0.22
S R I A F F A,C H A R E R E R R R R R R R R R R,0.03
Nahise mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita,Nta gushidikanya ko byanyeretse icyo gusoma Half-Blood bisobanura.,0.72
"@gerfingerpoken Please RT art #ImpeachObama iri hejuru y'iyi thread, yashyizwe ku rubuga rwanjye.",@realDonaldTrump ufite umutima w'intare! Reka tugarure Amerika!,0.38
Biragaragara ko abantu benshi babigenza batyo.,Ariko biragaragara ko abantu benshi babizi.,0.72
Ni gute ushobora kutagira urukundo rimwe na rimwe?,-Iby'abantu bari muri iki gitabo byari bitoroshye ariko nshimishwa n'ukuntu Chubs yita ku bagenzi be.,0.19
Guitar Hero: Metallica ni umukino wa videwo wa muzika wateguwe na Neversoft kandi usohorwa na Activision .,Guitar Hero: Metallica ni umukino w' amajwi ugiye gukorwa na Neversoft ifashijwe n' ikindi kigo cya Activision .,0.81
n'uburyo avuza iyo harmoni.,Kandi uwo mugabo ukina igitaramo cya bas,0.38
Ndi ku ruhande rw'intebe yanjye yo gutangira gukora imirimo y'ubwitange mu matora ya Perezida wa Hillary Clinton!,@vacanti @samglover wenda umugore yagombye kuba Perezida.,0.53
"Abantu 9 bishwe, 168 barakomereka mu mirwano yaherukaga i Cairo","Abantu 10 bishwe, 12 barakomereka mu gitero cy'ubwiyahuzi cyagabwe ku kibuga cy'indege cya E. Afghanistan",0.38
